Address,Lat,Lon
"68 AVE & 75 ST, New York, NY 11379",40.710734,-73.877185
"BLAKE AVE & LINWOOD ST, New York, NY NA",40.669804,-73.881545
"60 AVE & 60 LA., New York, NY 11378",40.729223,-73.904625
"AVENUE R & E 14 ST, New York, NY 11229",40.605698,-73.958654
"NORTHERN BLVD & 54 ST, New York, NY 11377",40.75329,-73.9069
"POWELL BLVD & 126 ST, New York, NY 10027",40.809609,-73.947761
"NORTHERN BLVD & 147 ST, New York, NY NA",40.765074,-73.819427
"SHERMAN AVE & DYCKMAN ST, New York, NY 10040",40.863583,-73.92602
"43 AVE & 45 ST, New York, NY 11104",40.745022,-73.919271
"AVENUE N & E 2 ST, New York, NY 11230",40.614153,-73.97292
"WALDRON & 108 ST, New York, NY 11368",40.739289,-73.852873
"POWELL BLVD & W 129 ST, New York, NY 10027",40.811565,-73.946584
"JACKSON AVE & E 149 ST, New York, NY 10455",40.813233,-73.909087
"LAFAYETTE & NOSTRAND AVES, New York, NY 11205",40.689856,-73.951462
"MORRIS AVE & E FORDHAM RD, New York, NY 10468",40.862355,-73.899956
"BROADWAY & 169 ST, New York, NY 10032",40.84171,-73.939406
"ALEXANDER AVE & 135 ST, New York, NY 10454",40.80817,-73.926535
"SARATOGA AVE & HALSEY ST, New York, NY 11233",40.6855,-73.917701
"BARCLAY AVE & KINGHORN ST, New York, NY 10312",40.5287,-74.168494
"AVENUE H & E 34 ST, New York, NY 11203",40.6319,-73.943654
"80 AVE & 64 LANE, New York, NY NA",40.696081,-73.88932
"36 RD & PRINCE ST, New York, NY 11354",40.761518,-73.832911
"BROADWAY & 102 ST, New York, NY 10025",40.798442,-73.968917
"PARK AVE & 42 ST, New York, NY 10165",40.752182,-73.97779
"59 AVE & 157 ST, New York, NY 11355",40.740641,-73.811209
"ALBERT RD & WHITELAW ST, New York, NY 11417",40.671849,-73.846587
"91 AVE & 143 ST, New York, NY NA",40.700523,-73.811052
"SAXON & RICHMOND AVES, New York, NY 10314",40.593649,-74.159256
"WESTCHESTER & COLGATE AVES, New York, NY 10472",40.828368,-73.881979
"BAY 13 & 86 ST, New York, NY 11214",40.609591,-74.006489
"NORTHERN BLVD & 42 ST, New York, NY 11101",40.753072,-73.921498
"35 AVE & 21 ST, New York, NY 11106",40.761351,-73.935372
"BROADWAY & SPRING ST, New York, NY 10012",40.722693,-73.999165
"BROADWAY & W 34 ST, New York, NY 10001",40.750171,-73.988449
"ARLINGTON AVE & W 256 ST, New York, NY 10471",40.909296,-73.906802
"GLENWOOD RD & E 108 ST, New York, NY 11236",40.65067,-73.894445
"90 AVE & 181 ST, New York, NY 11432",40.711219,-73.780894
"OGDEN AVE & W 167 ST, New York, NY 10452",40.836944,-73.927123
"LENOX RD & E 92 ST, New York, NY 11212",40.657004,-73.922132
"ADEE & MATTHEWS AVES, New York, NY 10467",40.869622,-73.862447
"IND B&D ? E 174 ST & GRAND CONCOURSE, New York, NY 10452",40.844873,-73.912643
"2 AVE & E 51 ST, New York, NY 10022",40.755506,-73.968065
"103 AVE & 117 ST, New York, NY 11419",40.687465,-73.826712
"UNION AVE & HOME ST, New York, NY 10456",40.827709,-73.899796
"50 AVE & 47 ST, New York, NY 11377",40.737366,-73.918916
"W 115 ST & LENOX AVE\MALCOLM X BLVD, New York, NY 10026",40.80138,-73.950238
"72 AVE & 164 ST, New York, NY 11365",40.728484,-73.805154
"49 AVE & 217 ST, New York, NY 11364",40.755399,-73.7633
"BROADWAY & 42 ST, New York, NY 11103",40.758225,-73.917399
"BLAKE AVE & NEW JERSEY AVE, New York, NY 11207",40.667985,-73.893844
